zip code,graduate_or_professional,highSchool_or_higher,bachelors_or_higher
61236,5.8,84.6,9.6
87543,0,62.5,0
11939,19.4,92.4,38
63763,19.8,88.7,31.1
50069,3.2,92.2,24.8
94086,34.1,92.2,64.1
53059,3.6,92.1,12.4
29715,11.8,91.9,38.8
12817,20.9,92.8,38.9
14415,5.3,71.1,9.6
58480,0,96,17.8
54648,3.3,78.5,10.9
18415,16.2,93.2,38.3
50664,46.2,100,46.2
85083,16,96.9,46.4
29693,5.9,79.1,16.2
06001,30.5,97.3,69
43901,3.5,85.9,9.9
59038,6.3,93.9,20
39095,4.7,75.9,11
28025,7.2,86.6,23.5
78671,4.8,85.1,41
67346,7.9,93.9,25.9
27980,8.6,83.2,18.3
05760,11,94.1,34.7
23608,7.3,91.8,23.3
47012,6.5,89.8,20.6
67010,7.2,92.9,25.8
38635,3.9,76.2,12.4
40988,0,72.8,8.5
73448,3.4,84.9,13.8
15474,5.5,89.4,17.2
21776,9.2,92.5,27.6
04541,60.5,100,60.5
22835,5.8,82.1,16.1
79912,18.7,89.5,48.3
57584,0,87.8,22
20186,16,92.1,40.5
78147,6.2,81,18.7
33966,16.8,93.6,39.2
81082,7.2,87.1,19.4
56554,8.4,92.4,27.9
