number_of_fastfood,zipcode,population,state,county,graduate_or_professional,highSchool_or_higher,bachelors_or_higher,median,stdev,lat,lon,clean_mean
2,01550,16824.0,MA,Worcester County,5.5,82.1,15.9,181494.5,48322.5,42.0588,-72.0373,69361.5
1,01581,18706.0,MA,Worcester County,30.5,96.4,65.7,300000.0,73840.0,42.2588,-71.655,142576.0
1,01604,35866.0,MA,Worcester County,8.8,87.4,27.9,34873.75,38881.25,42.2532,-71.7875,47648.25
1,01701,32061.0,MA,Middlesex County,25.1,95.7,58.6,191803.25,63887.25,42.3255,-71.4254,94555.25
1,01720,22638.0,MA,Middlesex County,43.9,97.5,76.1,124665.0,73967.0,42.465,-71.4298,118890.0
1,01752,39545.0,MA,Middlesex County,16.4,91.6,39.3,149935.67,57045.0,42.3454,-71.5417,90568.0
1,01757,28600.0,MA,Worcester County,12.6,91.9,36.7,63325.0,58228.67,42.1456,-71.5207,74948.33
1,01801,39775.0,MA,Middlesex County,17.3,94.5,42.3,246367.0,61672.75,42.4809,-71.1622,95390.0
2,01803,25698.0,MA,Middlesex County,24.1,95.2,53.6,300000.0,65384.0,42.5085,-71.2159,109749.0
1,01821,31780.0,MA,Middlesex County,10.6,93.2,34.1,104211.33,63601.67,42.547,-71.2576,108409.0
1,01824,25803.0,MA,Middlesex County,23.9,96.7,54.1,100969.67,72067.0,42.6085,-71.3394,108921.33
5,01843,25963.0,MA,Essex County,5.2,74.0,15.9,43771.0,39438.0,42.6921,-71.1595,53497.5
